Time,MAX,MIN,AVG
0.0,0.629131496,-0.127475619,0.126447931
0.005,0.656771481,-0.141143769,0.126447931
0.01,0.601795197,-0.159367934,0.126447931
0.015,0.606958747,-0.131120473,0.126144201
0.02,0.613640964,-0.147218481,0.126447931
0.025,0.689271331,-0.13233541,0.126447931
0.03,0.610907316,-0.185792997,0.126751676
0.035,0.623056769,-0.154508159,0.126447931
0.04,0.639458537,-0.149952114,0.126447931
0.045,0.604225099,-0.124134533,0.125840455
0.05,0.606351256,-0.116237395,0.126447931
0.055,0.620626867,-0.152989477,0.125840455
0.06,0.593290627,-0.138410136,0.126447931
0.065,0.620626867,-0.121704645,0.125840455
0.07,0.629738986,-0.219811469,0.125840455
0.075,0.668920994,-0.135980248,0.126144201
0.08,0.627005339,-0.110466398,0.126447931
0.085,0.678640544,-0.11684487,0.126447931
0.09,0.621538103,-0.172124863,0.126447931
0.095,0.663453698,-0.1371952,0.126144201
0.1,0.635813713,-0.142358705,0.126751676
0.105,0.609692395,-0.129298046,0.127055407
0.11,0.656771481,-0.130512983,0.126144201
0.115,0.647963166,-0.168783769,0.125840455
0.12,0.616982043,-0.117756061,0.125840455
0.125,0.630346417,-0.12109717,0.126447931
0.13,0.644925773,-0.111073874,0.126447931
0.135,0.63733238,-0.119578488,0.126144201
0.14,0.606351256,-0.145699814,0.126751676
0.145,0.654645383,-0.152078271,0.125536725
0.15,0.603617668,-0.138713866,0.125840455
0.155,0.643710852,-0.156634316,0.12523298
0.16,0.594201803,-0.129298046,0.126144201
0.165,0.606655002,-0.139017597,0.126144201
0.17,0.60544008,-0.180325747,0.125536725
0.175,0.632472575,-0.14175123,0.125536725
0.18,0.653430402,-0.142358705,0.126144201
0.185,0.654037833,-0.195816293,0.126144201
0.19,0.594809294,-0.119882233,0.126144201
0.195,0.6716545819999999,-0.155115619,0.126144201
0.2,0.602099001,-0.150559589,0.126751676
0.205,0.610907316,-0.142358705,0.126447931
0.21,0.638547361,-0.143269926,0.126447931
0.215,0.626701653,-0.154811889,0.126447931
0.22,0.610299885,-0.15997541,0.126144201
0.225,0.703850687,-0.152989477,0.125536725
0.23,0.609692395,-0.123223327,0.126144201
0.235,0.611514807,-0.14175123,0.126144201
0.24,0.675603151,-0.142358705,0.125840455
0.245,0.650089324,-0.14175123,0.126447931
0.25,0.633991301,-0.175769687,0.125840455
0.255,0.598757863,-0.177592114,0.12523298
0.26,0.601187766,-0.172428608,0.125536725
0.265,0.627916574,-0.147825956,0.125840455
0.27,0.650089324,-0.130512983,0.125840455
0.275,0.636724949,-0.168783769,0.125536725
0.28,0.717518806,-0.148737162,0.125840455
0.285,0.600580275,-0.118971013,0.126751676
0.29,0.642799616,-0.111073874,0.125840455
0.295,0.721163571,-0.152685732,0.126447931
0.3,0.628524005,-0.15572311,0.126144201
0.305,0.621841848,-0.149648383,0.126447931
0.31,0.622449279,-0.141143769,0.126751676
0.315,0.638243556,-0.130512983,0.125840455
0.32,0.620019436,-0.144788593,0.125536725
0.325,0.633383811,-0.14175123,0.125840455
0.33,0.615159631,-0.160582885,0.126447931
0.335,0.644014597,-0.122312121,0.126144201
0.34,0.68866384,-0.129601777,0.126144201
0.345,0.673476994,-0.13749893,0.125840455
0.35,0.599365354,-0.162709042,0.125840455
0.355,0.613033473,-0.182148173,0.125536725
0.36,0.598150432,-0.146307275,0.12523298
0.365,0.655252874,-0.122008376,0.125840455
0.37,0.587823391,-0.153293207,0.126144201
0.375,0.592379451,-0.138106391,0.126751676
0.38,0.62822026,-0.106214084,0.126144201
0.385,0.651304245,-0.142662436,0.126447931
0.39,0.597542942,-0.122008376,0.126144201
0.395,0.666491091,-0.140840024,0.126447931
0.4,0.612426043,-0.143573657,0.126447931
0.405,0.641584694,-0.120185964,0.127055407
0.41,0.676210642,-0.136587709,0.126144201
0.415,0.614248455,-0.112592556,0.126447931
0.42,0.64705193,-0.127779365,0.126447931
0.425,0.601795197,-0.139321342,0.126447931
0.43,0.601187766,-0.110770144,0.126447931
0.435,0.636724949,-0.130209252,0.127055407
0.44,0.626701653,-0.146611005,0.126144201
0.445,0.659505188,-0.120489694,0.126144201
0.45,0.647659421,-0.16999872,0.125840455
0.455,0.62882781,-0.131727934,0.125840455
0.46,0.621538103,-0.130512983,0.126144201
0.465,0.590556979,-0.136587709,0.126751676
0.47,0.642799616,-0.145396054,0.126447931
0.475,0.6716545819999999,-0.130209252,0.126751676
0.48,0.632472575,-0.124742009,0.126144201
0.485,0.623968005,-0.140840024,0.126447931
0.49,0.617285788,-0.153900683,0.126751676
0.495,0.651304245,-0.125653207,0.126751676
0.5,0.614855886,-0.146611005,0.126751676
0.505,0.61394465,-0.118363537,0.126751676
0.51,0.63793987,-0.117452331,0.126751676
0.515,0.597846687,-0.144181117,0.126447931
0.52,0.625486672,-0.145699814,0.126144201
0.525,0.625486672,-0.122312121,0.126447931
0.53,0.625486672,-0.149040893,0.126447931
0.535,0.643103361,-0.145699814,0.126751676
0.54,0.607262492,-0.13780266,0.126144201
0.545,0.609084904,-0.140232548,0.125840455
0.55,0.592683136,-0.154508159,0.126144201
0.555,0.613337219,-0.128690571,0.12523298
0.56,0.654949129,-0.157545507,0.126144201
0.565,0.666187346,-0.152078271,0.125536725
0.57,0.607262492,-0.209180698,0.125840455
0.575,0.582963586,-0.136283979,0.126144201
0.58,0.593290627,-0.119882233,0.126447931
0.585,0.649178088,-0.146611005,0.126144201
0.59,0.597239196,-0.120185964,0.126751676
0.595,0.621234357,-0.154508159,0.126447931
0.6,0.603313923,-0.118059807,0.126447931
0.605,0.616070807,-0.163316503,0.126751676
0.61,0.664061189,-0.109858923,0.126751676
0.615,0.615463376,-0.129905507,0.126447931
0.62,0.603617668,-0.139625087,0.126751676
0.625,0.598757863,-0.123223327,0.126144201
0.63,0.60483259,-0.168783769,0.126751676
0.635,0.623968005,-0.215559155,0.127359137
0.64,0.59116447,-0.143877387,0.126447931
0.645,0.61850071,-0.136283979,0.126447931
0.65,0.607262492,-0.142966166,0.125840455
0.655,0.624879181,-0.134461552,0.12523298
0.66,0.642799616,-0.125045732,0.126144201
0.665,0.62822026,-0.164227724,0.126144201
0.67,0.667706013,-0.172124863,0.126447931
0.675,0.6191082,-0.127475619,0.126447931
0.68,0.603313923,-0.156330571,0.126447931
0.685,0.610907316,-0.145092323,0.126447931
0.69,0.675603151,-0.110162668,0.126447931
0.695,0.6145522,-0.131120473,0.126751676
0.7,0.609692395,-0.15147078,0.126751676
0.705,0.602402747,-0.135069042,0.127055407
0.71,0.586304665,-0.11198508,0.126144201
0.715,0.639458537,-0.138713866,0.125840455
0.72,0.626701653,-0.122312121,0.126447931
0.725,0.62882781,-0.138713866,0.127359137
0.73,0.619715691,-0.124134533,0.126447931
0.735,0.575066447,-0.114718698,0.126447931
0.74,0.65555656,-0.144181117,0.126751676
0.745,0.589342058,-0.129601777,0.125840455
0.75,0.624879181,-0.160582885,0.126447931
0.755,0.635813713,-0.123830788,0.124625511
0.76,0.593594372,-0.139321342,0.126144201
0.765,0.641280949,-0.123527057,0.126144201
0.77,0.656771481,-0.166961342,0.126144201
0.775,0.626094103,-0.172732338,0.125840455
0.78,0.606351256,-0.146003544,0.126447931
0.785,0.61850071,-0.130816713,0.126447931
0.79,0.595113039,-0.136283979,0.126144201
0.795,0.63277632,-0.11198508,0.126144201
0.8,0.623056769,-0.12109717,0.125536725
0.805,0.699902058,-0.13780266,0.126144201
0.81,0.66072011,-0.122919597,0.126144201
0.815,0.654037833,-0.121704645,0.125536725
0.82,0.604225099,-0.130816713,0.126144201
0.825,0.640369713,-0.12109717,0.126751676
0.83,0.612122297,-0.168480024,0.126447931
0.835,0.620019436,-0.119882233,0.126144201
0.84,0.636724949,-0.122008376,0.126447931
0.845,0.653430402,-0.141447499,0.125840455
0.85,0.603921354,-0.127171889,0.125536725
0.855,0.648874342,-0.126868144,0.125536725
0.86,0.596631706,-0.125653207,0.126447931
0.865,0.598757863,-0.117452331,0.12523298
0.87,0.615463376,-0.132031664,0.125840455
0.875,0.598757863,-0.133246616,0.125840455
0.88,0.604225099,-0.121704645,0.126447931
0.885,0.63277632,-0.116541125,0.126447931
0.89,0.602706432,-0.128083095,0.126447931
0.895,0.677729309,-0.13294287,0.126751676
0.9,0.612122297,-0.129905507,0.126751676
0.905,0.644622028,-0.127475619,0.126751676
0.91,0.612426043,-0.159064204,0.126447931
0.915,0.64188844,-0.131120473,0.126144201
0.92,0.60999614,-0.111377604,0.126144201
0.925,0.692308605,-0.130512983,0.126751676
0.93,0.653430402,-0.166050136,0.125840455
0.935,0.6191082,-0.134765297,0.126751676
0.94,0.580837429,-0.18852663,0.126751676
0.945,0.658897638,-0.12838684,0.126144201
0.95,0.695042312,-0.147218481,0.125536725
0.955,0.653734088,-0.122312121,0.126447931
