Date,Time,CO,PT08_S1,NMHC,C6H6,PT08_S2,NOx,PT08_S3,NO2,PT08_S4,PT08_S5,T,RH,AH
2005-02-16,17:00:00,1.6,1083,-200,7,856,252,720,148,1010,975,8.2,41.8,0.4563
2005-02-16,18:00:00,2.2,1143,-200,9.5,960,313,641,153,1110,1136,7.4,44.5,0.4582
2005-02-16,19:00:00,3.4,1288,-200,15.9,1178,433,539,171,1300,1434,7,43.4,0.4366
2005-02-16,20:00:00,5.6,1464,-200,24.7,1421,611,457,227,1542,1746,6.6,43.4,0.4241
2005-02-16,21:00:00,5.2,1341,-200,16.8,1204,626,534,251,1294,1592,5.9,44.3,0.4137
2005-02-16,22:00:00,2.8,1177,-200,10.7,1004,408,640,216,1111,1341,5,46.6,0.4099
2005-02-16,23:00:00,2.4,1089,-200,8.3,913,357,712,200,1016,1208,5.8,40.3,0.374
2005-02-17,0:00:00,2.7,1196,-200,11,1014,375,643,192,1101,1334,5.4,43.8,0.3945
2005-02-17,1:00:00,2.6,1107,-200,7.4,874,326,721,187,984,1208,5.7,42.1,0.3883
2005-02-17,2:00:00,2.3,1102,-200,7.9,897,326,715,173,1024,1196,5.7,42.1,0.3885
2005-02-17,3:00:00,1,993,-200,3.6,688,-200,847,-200,874,931,5.8,42.9,0.399
2005-02-17,4:00:00,0.6,912,-200,1.7,559,72,1016,64,837,656,5.7,46.6,0.4298
2005-02-17,5:00:00,0.5,883,-200,1,496,49,1140,46,804,478,6.9,45,0.4499
2005-02-17,6:00:00,0.5,893,-200,1.1,507,59,1111,51,794,489,6.9,42.2,0.4224
2005-02-17,7:00:00,1,1033,-200,4,711,220,893,115,935,893,6.4,43.8,0.423
2005-02-17,8:00:00,2.6,1222,-200,9.7,966,602,636,238,1134,1322,6.6,44.6,0.4383
2005-02-17,9:00:00,2.7,1190,-200,10.6,1000,485,624,202,1152,1280,7.7,42.1,0.444
2005-02-17,10:00:00,1.8,1035,-200,5.4,783,295,794,167,969,943,10.1,36.7,0.4536
2005-02-17,11:00:00,1.2,990,-200,3.9,705,217,873,139,913,772,9,41.4,0.4775
2005-02-17,12:00:00,1.3,1011,-200,4.4,732,236,830,147,944,826,8.7,42.5,0.4787
2005-02-17,13:00:00,1.4,1041,-200,5,763,196,790,130,1003,808,8.3,47.8,0.5238
