ORDERID,PURCHASE_PAGE,CITY,CUSTOMER_TYPE,GENDER
750-67-8428,A,Seoul,Member,Female
226-31-3081,C,Gyeonggi,Normal,Female
631-41-3108,A,Seoul,Normal,Male
123-19-1176,A,Seoul,Member,Male
373-73-7910,A,Seoul,Normal,Male
699-14-3026,C,Gyeonggi,Normal,Male
355-53-5943,A,Seoul,Member,Female
315-22-5665,C,Gyeonggi,Normal,Female
665-32-9167,A,Seoul,Member,Female
692-92-5582,B,Incheon,Member,Female
351-62-0822,B,Incheon,Member,Female
529-56-3974,B,Incheon,Member,Male
365-64-0515,A,Seoul,Normal,Female
252-56-2699,A,Seoul,Normal,Male
829-34-3910,A,Seoul,Normal,Female
299-46-1805,B,Incheon,Member,Female
656-95-9349,A,Seoul,Member,Female
765-26-6951,A,Seoul,Normal,Male
329-62-1586,A,Seoul,Normal,Male
319-50-3348,B,Incheon,Normal,Female
300-71-4605,C,Gyeonggi,Member,Male
371-85-5789,B,Incheon,Normal,Male
273-16-6619,B,Incheon,Normal,Male
636-48-8204,A,Seoul,Normal,Male
549-59-1358,A,Seoul,Member,Male
227-03-5010,A,Seoul,Member,Female
649-29-6775,B,Incheon,Normal,Male
189-17-4241,A,Seoul,Normal,Female
145-94-9061,B,Incheon,Normal,Female
848-62-7243,A,Seoul,Normal,Male
871-79-8483,B,Incheon,Normal,Male
149-71-6266,B,Incheon,Member,Male
640-49-2076,B,Incheon,Normal,Male
595-11-5460,A,Seoul,Normal,Male
183-56-6882,C,Gyeonggi,Member,Female
232-16-2483,C,Gyeonggi,Member,Female
129-29-8530,A,Seoul,Member,Male
272-65-1806,A,Seoul,Normal,Female
333-73-7901,C,Gyeonggi,Normal,Female
777-82-7220,B,Incheon,Member,Male
280-35-5823,B,Incheon,Member,Female
554-53-8700,C,Gyeonggi,Member,Male
354-25-5821,B,Incheon,Member,Female
228-96-1411,C,Gyeonggi,Member,Female
617-15-4209,C,Gyeonggi,Member,Male
132-32-9879,B,Incheon,Member,Female
370-41-7321,B,Incheon,Member,Male
727-46-3608,B,Incheon,Member,Female
669-54-1719,B,Incheon,Member,Male
574-22-5561,C,Gyeonggi,Member,Female
326-78-5178,C,Gyeonggi,Member,Male
162-48-8011,A,Seoul,Member,Female
616-24-2851,B,Incheon,Member,Female
778-71-5554,C,Gyeonggi,Member,Male
242-55-6721,B,Incheon,Normal,Male
