ORDERID,DATE,PURCHASE_TIME,PAYMENT,COGS,GROSS_MARGIN_PERCENTAGE,GROSS_INCOME,RATING
750-67-8428,1/5/2019,13:08,Samsungpay,522.83,4.761904762,26.1415,9.1
226-31-3081,3/8/2019,10:29,Naverpay,76.4,4.761904762,3.82,9.6
631-41-3108,3/3/2019,13:23,Credit card,324.31,4.761904762,16.2155,7.4
123-19-1176,1/27/2019,20:33,Samsungpay ,465.76,4.761904762,23.288,8.4
373-73-7910,2/8/2019,10:37,Samsungpay,604.17,4.761904762,30.2085,
699-14-3026,3/25/2019,18:30,Samsungpay,597.73,4.761904762,29.8865,4.1
355-53-5943,2/25/2019,14:36,Samsungpay,413.04,4.761904762,20.652,5.8
315-22-5665,2/24/2019,11:38,Samsungpay,735.6,4.761904762,36.78,8
665-32-9167,1/10/2019,17:15,Credit card,72.52,4.761904762,3.626,7.2
692-92-5582,2/20/2019,13:27,Credit card,164.52,4.761904762,8.226,5.9
351-62-0822,2/6/2019,18:07,Samsungpay,57.92,4.761904762,2.896,4.5
529-56-3974,3/9/2019,17:03,Naverpay,102.04,4.761904762,5.102,6.8
365-64-0515,2/12/2019,10:25,Samsungpay,234.75,4.761904762,11.7375,7.1
252-56-2699,2/7/2019,16:48,Samsungpay,431.9,4.761904762,21.595,8.2
829-34-3910,3/29/2019,19:21,Naverpay,713.8,4.761904762,35.69,5.7
299-46-1805,1/15/2019,16:19,Naverpay,562.32,4.761904762,28.116,4.5
656-95-9349,3/11/2019,11:03,Credit card,482.51,4.761904762,24.1255,4.6
765-26-6951,1/1/2019,10:39,Credit card,435.66,4.761904762,21.783,6.9
329-62-1586,1/21/2019,18:00,Credit card,164.01,4.761904762,8.2005,8.6
319-50-3348,3/11/2019,15:30,Samsungpay,80.6,4.761904762,4.03,4.4
300-71-4605,2/25/2019,11:24,Samsungpay,430.2,4.761904762,21.51,4.8
371-85-5789,3/5/2019,10:40,Samsungpay,263.94,4.761904762,13.197,5.1
273-16-6619,3/15/2019,12:20,Credit card,66.4,4.761904762,3.32,4.4
636-48-8204,2/17/2019,11:15,Samsungpay,172.8,4.761904762,8.64,9.9
549-59-1358,3/2/2019,17:36,Samsungpay,265.89,4.761904762,13.2945,6
227-03-5010,3/22/2019,19:20,Credit card,420.72,4.761904762,21.036,8.5
649-29-6775,2/8/2019,15:31,Naverpay,33.52,4.761904762,1.676,6.7
189-17-4241,3/10/2019,12:17,Credit card,175.34,4.761904762,8.767,7.7
145-94-9061,1/25/2019,19:48,Naverpay,441.8,4.761904762,22.09,9.6
848-62-7243,3/15/2019,15:36,Naverpay,224.01,4.761904762,11.2005,7.4
871-79-8483,2/25/2019,19:39,Credit card,470.65,4.761904762,23.5325,4.8
149-71-6266,1/28/2019,12:43,Naverpay,702.63,4.761904762,35.1315,4.5
640-49-2076,1/10/2019,14:49,Naverpay,670.24,4.761904762,33.512,5.1
595-11-5460,3/15/2019,10:12,Credit card,193.16,4.761904762,9.658,5.1
183-56-6882,2/6/2019,10:42,Samsungpay,397.68,4.761904762,19.884,7.5
232-16-2483,1/7/2019,12:28,Samsungpay,68.12,4.761904762,3.406,6.8
129-29-8530,3/10/2019,19:15,Samsungpay,313.1,4.761904762,15.655,7
272-65-1806,1/15/2019,17:17,Samsungpay,547.92,4.761904762,27.396,4.7
333-73-7901,3/23/2019,13:24,Samsungpay,439.36,4.761904762,21.968,7.6
777-82-7220,3/3/2019,13:01,Naverpay,240.96,4.761904762,12.048,7.7
280-35-5823,1/17/2019,18:45,Samsungpay,86.72,4.761904762,4.336,7.9
554-53-8700,2/2/2019,10:11,Naverpay,112.22,4.761904762,5.611,6.3
354-25-5821,2/8/2019,13:03,Naverpay,414.72,4.761904762,20.736,5.6
228-96-1411,3/4/2019,20:39,Naverpay,789.6,4.761904762,39.48,7.6
617-15-4209,3/16/2019,19:47,Naverpay,30.74,4.761904762,1.537,7.2
132-32-9879,3/9/2019,18:00,Naverpay,375.84,4.761904762,18.792,9.5
370-41-7321,2/27/2019,17:24,Credit card,510.21,4.761904762,25.5105,8.4
727-46-3608,2/6/2019,15:47,Samsungpay,180.09,4.761904762,9.0045,4.1
669-54-1719,2/10/2019,12:45,Credit card,113.58,4.761904762,5.679,8.1
574-22-5561,3/19/2019,17:08,Samsungpay,826.3,4.761904762,41.315,7.9
326-78-5178,2/3/2019,10:19,Naverpay,639.8,4.761904762,31.99,9.5
162-48-8011,2/10/2019,15:10,Naverpay,222.95,4.761904762,11.1475,8.5
616-24-2851,3/22/2019,14:42,Samsungpay,71.48,4.761904762,3.574,6.5
778-71-5554,1/25/2019,15:46,Credit card,15.43,4.761904762,0.7715,6.1
242-55-6721,3/7/2019,11:49,Samsungpay,32.32,4.761904762,1.616,6.5
399-46-5918,2/28/2019,19:01,Naverpay,687.84,4.761904762,34.392,8.2
106-35-6779,3/27/2019,11:26,Naverpay,88.68,4.761904762,4.434,5.8
635-40-6220,2/7/2019,11:28,Samsungpay,716.8,4.761904762,35.84,6.6
817-48-8732,1/20/2019,15:55,Naverpay,723.5,4.761904762,36.175,5.4
120-06-4233,3/12/2019,20:36,Naverpay,183.66,4.761904762,9.183,9.3
285-68-5083,2/15/2019,17:47,Credit card,74.22,4.761904762,3.711,10
803-83-5989,2/24/2019,10:55,Samsungpay,334.38,4.761904762,16.719,7
347-34-2234,2/3/2019,13:40,Samsungpay,495.63,4.761904762,24.7815,10
199-75-8169,3/6/2019,12:27,Credit card,158.1,4.761904762,7.905,8.6
853-23-2453,2/14/2019,14:35,Naverpay,302.96,4.761904762,15.148,7.6
877-22-3308,3/13/2019,16:40,Naverpay,158.7,4.761904762,7.935,5.8
838-78-4295,2/10/2019,15:43,Samsungpay,66.94,4.761904762,3.347,6.7
109-28-2512,1/7/2019,15:01,Samsungpay,585.66,4.761904762,29.283,9.9
232-11-3025,1/24/2019,10:04,Naverpay,787.7,4.761904762,39.385,6.4
382-03-4532,2/2/2019,18:50,Naverpay,18.33,4.761904762,0.9165,4.3
393-65-2792,1/6/2019,12:46,Credit card,894.8,4.761904762,44.74,9.6
796-12-2025,2/11/2019,16:19,Naverpay,621.2,4.761904762,31.06,5.9
510-95-6347,3/5/2019,18:17,Samsungpay,145.56,4.761904762,7.278,4
841-35-6630,3/9/2019,18:21,Naverpay,455.46,4.761904762,22.773,8.7
287-21-9091,1/22/2019,10:55,Samsungpay,672.03,4.761904762,33.6015,9.4
732-94-0499,1/13/2019,17:04,Credit card,416.5,4.761904762,20.825,5.4
263-10-3913,1/9/2019,14:20,Credit card,441.36,4.761904762,22.068,8.6
381-20-0914,1/12/2019,15:48,Credit card,180.09,4.761904762,9.0045,5.7
829-49-1914,3/5/2019,16:24,Samsungpay,783.1,4.761904762,39.155,6.6
756-01-7507,1/22/2019,18:56,Naverpay,101.9,4.761904762,5.095,6
870-72-4431,1/21/2019,14:42,Credit card,595.14,4.761904762,29.757,5.5
847-38-7188,1/26/2019,19:56,Samsungpay,290.04,4.761904762,14.502,6.4
480-63-2856,1/23/2019,18:37,Samsungpay,154,4.761904762,7.7,6.6
787-56-0757,2/23/2019,18:45,Credit card,321.44,4.761904762,16.072,8.3
360-39-5055,3/9/2019,10:17,Naverpay,244.55,4.761904762,12.2275,6.6
730-50-9884,3/5/2019,14:31,Samsungpay,581.42,4.761904762,29.071,4
362-58-8315,3/25/2019,10:23,Naverpay,382.6,4.761904762,19.13,9.9
633-44-8566,3/27/2019,20:35,Credit card,345.66,4.761904762,17.283,7.3
504-35-8843,1/2/2019,16:57,Naverpay,42.47,4.761904762,2.1235,5.7
318-68-5053,2/27/2019,17:55,Naverpay,461.94,4.761904762,23.097,6.1
565-80-5980,1/23/2019,10:25,Naverpay,189.52,4.761904762,9.476,7.1
225-32-0908,1/26/2019,19:54,Samsungpay,448.6,4.761904762,22.43,8.2
873-51-0671,1/10/2019,16:42,Samsungpay,153.86,4.761904762,7.693,5.1
152-08-9985,3/12/2019,12:09,Credit card,579.24,4.761904762,28.962,8.6
512-91-0811,2/6/2019,20:05,Credit card,89.75,4.761904762,4.4875,6.6
594-34-4444,3/8/2019,20:38,Samsungpay,97.16,4.761904762,4.858,7.2
766-85-7061,3/29/2019,10:25,Samsungpay,878.7,4.761904762,43.935,5.1
871-39-9221,2/9/2019,13:11,Naverpay,74.7,4.761904762,3.735,4.1
865-92-6136,3/23/2019,10:16,Samsungpay,158.25,4.761904762,7.9125,9.3
733-01-9107,3/5/2019,18:14,Naverpay,496.2,4.761904762,24.81,7.4
163-56-7055,3/26/2019,19:20,Naverpay,48.71,4.761904762,2.4355,4.1
189-98-2939,3/1/2019,13:22,Naverpay,706.95,4.761904762,35.3475,7.2
551-21-3069,2/1/2019,11:27,Naverpay,207.63,4.761904762,10.3815,4.9
212-62-1842,3/28/2019,16:44,Naverpay,349.56,4.761904762,17.478,9.9
716-39-1409,3/19/2019,18:19,Naverpay,212.45,4.761904762,10.6225,8
704-48-3927,1/12/2019,14:50,Samsungpay,886.7,4.761904762,44.335,7.3
628-34-3388,1/5/2019,20:54,Credit card,164.28,4.761904762,8.214,7.9
630-74-5166,3/22/2019,20:19,Naverpay,372.78,4.761904762,18.639,7.4
588-01-7461,3/24/2019,10:43,Naverpay,305.82,4.761904762,15.291,4.2
861-77-0145,3/3/2019,14:30,Naverpay,819.7,4.761904762,40.985,9.2
479-26-8945,2/5/2019,11:32,Samsungpay,32.98,4.761904762,1.649,4.6
210-67-5886,2/5/2019,10:41,Credit card,294.63,4.761904762,14.7315,7.8
227-78-1148,2/15/2019,12:44,Naverpay,509.88,4.761904762,25.494,8.4
645-44-1170,1/19/2019,20:07,Samsungpay,522.63,4.761904762,26.1315,4.3
237-01-6122,2/1/2019,20:31,Credit card,727.11,4.761904762,36.3555,9.5
225-98-1496,3/2/2019,13:01,Credit card,81.06,4.761904762,4.053,7.1
291-32-1427,3/5/2019,12:29,Samsungpay,109.7,4.761904762,5.485,5.3
659-65-8956,1/16/2019,15:26,Samsungpay,51.36,4.761904762,2.568,5.2
642-32-2990,2/2/2019,20:48,Samsungpay,109.6,4.761904762,5.48,6
378-24-2715,1/20/2019,20:38,Samsungpay,106.88,4.761904762,5.344,4.1
638-60-7125,2/14/2019,17:03,Credit card,796.48,4.761904762,39.824,5.2
659-36-1684,1/12/2019,12:02,Credit card,399.84,4.761904762,19.992,6.5
219-22-9386,3/9/2019,17:26,Credit card,899.64,4.761904762,44.982,4.2
336-78-2147,3/13/2019,19:52,Credit card,511.28,4.761904762,25.564,4.6
268-27-6179,3/9/2019,14:57,Samsungpay,451.76,4.761904762,22.588,7.3
668-90-8900,3/10/2019,18:44,Credit card,655.83,4.761904762,32.7915,4.5
870-54-3162,1/27/2019,13:26,Naverpay,161.25,4.761904762,8.0625,9
189-08-9157,1/8/2019,16:17,Credit card,285.57,4.761904762,14.2785,5.9
663-86-9076,1/8/2019,15:57,Samsungpay,548.32,4.761904762,27.416,8.5
549-84-7482,2/8/2019,11:15,Samsungpay,812.52,4.761904762,40.626,7.2
191-10-6171,1/25/2019,13:18,Naverpay,277.34,4.761904762,13.867,7.5
802-70-5316,3/6/2019,20:34,Naverpay,552.78,4.761904762,27.639,8.3
695-51-0018,2/10/2019,18:36,Naverpay,139.36,4.761904762,6.968,7.4
590-83-4591,2/17/2019,14:40,Credit card,524.7,4.761904762,26.235,8.8
483-71-1164,3/8/2019,16:43,Samsungpay,487.8,4.761904762,24.39,5.3
597-78-7908,2/18/2019,19:39,Naverpay,270.66,4.761904762,13.533,6.2
700-81-1757,1/18/2019,20:59,Credit card,131.55,4.761904762,6.5775,8.8
354-39-5160,2/18/2019,15:39,Naverpay,206.52,4.761904762,10.326,9.8
241-72-9525,2/16/2019,12:21,Naverpay,519.1,4.761904762,25.955,8.2
575-30-8091,3/16/2019,19:25,Samsungpay,580,4.761904762,29,9.2
731-81-9469,1/23/2019,13:00,Credit card,898,4.761904762,44.9,5.4
280-17-4359,1/25/2019,13:48,Naverpay,905,4.761904762,45.25,8.1
338-65-2210,2/5/2019,19:57,Naverpay,686,4.761904762,34.3,9.1
488-25-4221,2/22/2019,10:36,Credit card,30.41,4.761904762,1.5205,8.4
239-10-7476,1/21/2019,16:37,Samsungpay,467.7,4.761904762,23.385,8
458-41-1477,3/8/2019,17:11,Credit card,277.56,4.761904762,13.878,9.5
685-64-1609,2/10/2019,12:28,Samsungpay,301.4,4.761904762,15.07,9.2
568-90-5112,3/19/2019,12:46,Credit card,264.56,4.761904762,13.228,5.6
262-47-2794,3/6/2019,15:07,Credit card,574.88,4.761904762,28.744,6.2
238-49-0436,3/27/2019,13:48,Credit card,259.68,4.761904762,12.984,4.9
608-96-3517,3/23/2019,19:20,Credit card,366.16,4.761904762,18.308,4.8
584-86-7256,3/11/2019,16:07,Credit card,241.92,4.761904762,12.096,7.3
746-94-0204,1/29/2019,11:56,Credit card,749.16,4.761904762,37.458,7.4
214-17-6927,2/7/2019,18:23,Samsungpay,98.88,4.761904762,4.944,9.9
400-89-4171,1/28/2019,13:05,Naverpay,647.76,4.761904762,32.388,9.3
782-95-9291,2/20/2019,15:55,Credit card,461.45,4.761904762,23.0725,9
279-74-2924,1/4/2019,19:40,Naverpay,72.17,4.761904762,3.6085,6.1
307-85-2293,3/7/2019,13:58,Samsungpay,251.4,4.761904762,12.57,9.7
743-04-1105,3/30/2019,14:43,Samsungpay,874.98,4.761904762,43.749,6
423-57-2993,3/27/2019,19:18,Samsungpay,560.34,4.761904762,28.017,10
894-41-5205,1/19/2019,19:39,Credit card,345.44,4.761904762,17.272,8.3
275-28-0149,2/25/2019,16:21,Naverpay,63.69,4.761904762,3.1845,6
101-17-6199,3/13/2019,19:44,Credit card,320.53,4.761904762,16.0265,7
423-80-0988,1/30/2019,19:42,Samsungpay,152.8,4.761904762,7.64,6.5
548-46-9322,2/20/2019,15:24,Credit card,399,4.761904762,19.95,5.9
505-02-0892,2/25/2019,14:12,Samsungpay,340.56,4.761904762,17.028,5.6
234-65-2137,1/16/2019,13:32,Naverpay,955.8,4.761904762,47.79,4.8
687-47-8271,2/8/2019,16:20,Credit card,989.8,4.761904762,49.49,8.7
796-32-9050,1/19/2019,16:31,Naverpay,307.68,4.761904762,15.384,6.5
105-31-1824,2/1/2019,15:10,Credit card,486.64,4.761904762,24.332,8.5
249-42-3782,1/3/2019,11:36,Samsungpay,350.05,4.761904762,17.5025,5.5
316-55-4634,1/26/2019,12:45,Credit card,400.25,4.761904762,20.0125,9.4
733-33-4967,3/3/2019,19:17,Naverpay,166.8,4.761904762,8.34,6.3
608-27-6295,1/19/2019,17:34,Credit card,317.34,4.761904762,15.867,9.8
414-12-7047,1/18/2019,12:04,Samsungpay,158.32,4.761904762,7.916,8.7
827-26-2100,3/21/2019,16:21,Samsungpay,304.56,4.761904762,15.228,8.8
175-54-2529,3/3/2019,17:01,Credit card,177.36,4.761904762,8.868,9.6
139-52-2867,2/13/2019,10:50,Credit card,157.57,4.761904762,7.8785,4.8
407-63-8975,3/23/2019,19:16,Samsungpay,443.28,4.761904762,22.164,4.4
342-65-4817,1/28/2019,16:47,Samsungpay,260.4,4.761904762,13.02,9.9
130-98-8941,2/9/2019,10:00,Naverpay,449.82,4.761904762,22.491,5.7
434-83-9547,1/23/2019,11:51,Naverpay,307.76,4.761904762,15.388,7.7
851-28-6367,3/23/2019,10:55,Samsungpay,155,4.761904762,7.75,8
824-88-3614,1/25/2019,15:00,Samsungpay,274.48,4.761904762,13.724,5.7
586-25-0848,3/4/2019,11:19,Credit card,86.38,4.761904762,4.319,6.7
895-66-0685,3/5/2019,19:46,Samsungpay,54.24,4.761904762,2.712,8
305-14-0245,3/3/2019,19:00,Samsungpay,755.92,4.761904762,37.796,7.5
732-04-5373,2/8/2019,10:53,Naverpay,185.88,4.761904762,9.294,7
400-60-7251,2/10/2019,12:50,Samsungpay,74.07,4.761904762,3.7035,9.9
593-65-1552,1/28/2019,20:50,Credit card,279.24,4.761904762,13.962,5.9
284-34-9626,2/11/2019,10:39,Credit card,231.12,4.761904762,11.556,7.2
437-58-8131,1/15/2019,13:41,Samsungpay,147.04,4.761904762,7.352,4.6
286-43-6208,3/16/2019,19:08,Naverpay,790.2,4.761904762,39.51,9.2
641-43-2399,1/26/2019,20:23,Samsungpay,102.2,4.761904762,5.11,5.7
831-07-6050,3/19/2019,11:30,Credit card,163.55,4.761904762,8.1775,9.9
556-86-3144,1/13/2019,19:30,Naverpay,74.29,4.761904762,3.7145,5
848-24-9445,3/26/2019,18:03,Naverpay,87.4,4.761904762,4.37,4.9
856-22-8149,3/23/2019,10:13,Samsungpay,25.29,4.761904762,1.2645,6.1
699-01-4164,3/12/2019,19:58,Credit card,166,4.761904762,8.3,8.2
420-11-4919,2/17/2019,19:57,Credit card,356.95,4.761904762,17.8475,5.5
606-80-4905,1/29/2019,10:01,Credit card,114.9,4.761904762,5.745,6.8
542-41-0513,3/15/2019,11:57,Naverpay,229.96,4.761904762,11.498,6.6
426-39-2418,1/14/2019,10:02,Naverpay,429.87,4.761904762,21.4935,9.8
875-46-5808,2/6/2019,14:51,Samsungpay,259,4.761904762,12.95,8.7
394-43-4238,2/15/2019,12:42,Credit card,88.85,4.761904762,4.4425,5.4
749-24-1565,1/3/2019,12:02,Samsungpay,207.27,4.761904762,10.3635,7.9
672-51-8681,1/4/2019,18:19,Credit card,599.85,4.761904762,29.9925,9.7
263-87-5680,3/18/2019,17:38,Samsungpay,285.3,4.761904762,14.265,7.8
573-58-9734,3/28/2019,13:41,Samsungpay,91.11,4.761904762,4.5555,5.1
817-69-8206,3/2/2019,19:42,Credit card,897.57,4.761904762,44.8785,6.5
888-02-0338,1/25/2019,20:24,Samsungpay,236.07,4.761904762,11.8035,5.9
677-11-0152,1/16/2019,18:08,Naverpay,839.34,4.761904762,41.967,8.8
142-63-6033,3/20/2019,19:17,Samsungpay,461.8,4.761904762,23.09,4.9
656-16-1063,1/4/2019,13:24,Credit card,139.26,4.761904762,6.963,4.4
891-58-8335,3/11/2019,15:53,Naverpay,207.27,4.761904762,10.3635,6.5
802-43-8934,3/22/2019,15:05,Credit card,18.28,4.761904762,0.914,8.3
560-30-5617,3/24/2019,18:27,Naverpay,123.85,4.761904762,6.1925,8.5
319-74-2561,2/21/2019,16:55,Naverpay,283.92,4.761904762,14.196,5.5
549-03-9315,2/12/2019,12:58,Samsungpay,758.96,4.761904762,37.948,8.7
790-29-1172,3/10/2019,18:59,Credit card,172.02,4.761904762,8.601,7.9
239-36-3640,1/31/2019,13:44,Samsungpay,272.1,4.761904762,13.605,6.1
468-01-2051,3/6/2019,13:46,Samsungpay,434.56,4.761904762,21.728,5.4
389-25-3394,2/17/2019,18:06,Naverpay,59.05,4.761904762,2.9525,9.4
279-62-1445,2/21/2019,12:38,Naverpay,12.54,4.761904762,0.627,8.2
213-72-6612,3/20/2019,15:56,Naverpay,86.5,4.761904762,4.325,6.2
746-68-6593,1/11/2019,14:29,Credit card,174.32,4.761904762,8.716,9.7
836-82-5858,1/26/2019,19:14,Samsungpay,624.33,4.761904762,31.2165,4
583-72-1480,1/31/2019,16:24,Samsungpay,148.24,4.761904762,7.412,9.7
466-61-5506,2/26/2019,10:52,Naverpay,544.2,4.761904762,27.21,
721-86-6247,3/11/2019,12:55,Samsungpay,507.36,4.761904762,25.368,7.4
289-65-5721,1/26/2019,19:28,Naverpay,162.74,4.761904762,8.137,6.5
545-46-3100,3/12/2019,13:52,Credit card,31.77,4.761904762,1.5885,8.7
418-02-5978,2/11/2019,10:54,Naverpay,756.81,4.761904762,37.8405,8
269-04-5750,2/21/2019,18:31,Naverpay,295.28,4.761904762,14.764,6.7
157-13-5295,3/9/2019,18:24,Samsungpay,519.4,4.761904762,25.97,6.5
645-78-8093,1/20/2019,18:09,Samsungpay,186.28,4.761904762,9.314,4.1
211-30-9270,1/28/2019,15:16,Credit card,87.05,4.761904762,4.3525,4.9
755-12-3214,3/5/2019,17:07,Credit card,221.1,4.761904762,11.055,8.6
346-84-3103,3/2/2019,19:26,Naverpay,66.1,4.761904762,3.305,4.3
478-06-7835,1/11/2019,11:20,Samsungpay,89.69,4.761904762,4.4845,4.9
540-11-4336,1/11/2019,16:49,Credit card,224.46,4.761904762,11.223,5.6
448-81-5016,3/11/2019,12:01,Credit card,119.54,4.761904762,5.977,5.8
142-72-4741,2/28/2019,18:37,Credit card,186.4,4.761904762,9.32,6
217-58-1179,1/5/2019,11:25,Naverpay,250.6,4.761904762,12.53,4.2
376-02-8238,2/2/2019,18:42,Credit card,750.96,4.761904762,37.548,8.3
530-90-9855,1/1/2019,14:47,Naverpay,380.72,4.761904762,19.036,5.7
866-05-7563,2/9/2019,19:43,Naverpay,244.2,4.761904762,12.21,4.8
604-70-6476,1/23/2019,14:04,Samsungpay,89.7,4.761904762,4.485,6.8
799-71-1548,1/7/2019,16:11,Credit card,310.88,4.761904762,15.544,8.8
785-13-7708,1/14/2019,19:06,Credit card,511.42,4.761904762,25.571,4.2
845-51-0542,2/2/2019,15:34,Samsungpay,418.95,4.761904762,20.9475,6.4
662-47-5456,3/17/2019,19:06,Credit card,351.9,4.761904762,17.595,8.4
883-17-4236,3/2/2019,19:44,Credit card,28.78,4.761904762,1.439,7.2
290-68-2984,3/16/2019,11:22,Naverpay,95,4.761904762,4.75,5.2
704-11-6354,1/6/2019,11:23,Naverpay,471.2,4.761904762,23.56,8.9
110-48-7033,1/29/2019,14:12,Naverpay,130.48,4.761904762,6.524,9
366-93-0948,1/31/2019,10:46,Credit card,66.35,4.761904762,3.3175,9.7
