Time,MAX,MIN,AVG
0.0,0.066004403,-0.007499786,0.027126154
0.005,0.060840882,-0.010537149,0.026822418
0.01,0.062359564,-0.008410996,0.026822418
0.015,0.066915609,-0.015093194,0.026822418
0.02,0.067523085,-0.006284839,0.027126154
0.025,0.062663302,-0.011752093,0.027126154
0.03,0.065093197,-0.00871473,0.027126154
0.035,0.06114462,-0.013574513,0.027126154
0.04,0.061448358,-0.014789457,0.027126154
0.045,0.060537152,-0.006588576,0.026822418
0.05,0.064789459,-0.007499786,0.027126154
0.055,0.061752096,-0.009018468,0.027126154
0.06,0.063574515,-0.014789457,0.027126154
0.065,0.06296704,-0.009018468,0.027126154
0.07,0.059929676,-0.006892314,0.026822418
0.075,0.06296704,-0.008107258,0.027126154
0.08,0.064789459,-0.011144621,0.026822418
0.085,0.062663302,-0.011448355,0.026822418
0.09,0.063878246,-0.00871473,0.027126154
0.095,0.065093197,-0.007499786,0.027126154
0.1,0.063878246,-0.00871473,0.027126154
0.105,0.06296704,-0.010840883,0.027126154
0.11,0.060840882,-0.00871473,0.026822418
0.115,0.06813056,-0.00780352,0.027126154
0.12,0.060840882,-0.009929674,0.026822418
0.125,0.062359564,-0.012359565,0.026822418
0.13,0.059929676,-0.007499786,0.026822418
0.135,0.062359564,-0.010537149,0.026822418
0.14,0.065700665,-0.009322202,0.026822418
0.145,0.063574515,-0.009018468,0.027126154
0.15,0.059929676,-0.007499786,0.026822418
0.155,0.061752096,-0.006588576,0.027126154
0.16,0.064789459,-0.013574513,0.026822418
0.165,0.069041766,-0.007499786,0.026822418
0.17,0.064181983,-0.007499786,0.026822418
0.175,0.061752096,-0.007196048,0.027126154
0.18,0.066611879,-0.00962594,0.026822418
0.185,0.065093197,-0.009322202,0.027126154
0.19,0.062663302,-0.00780352,0.027126154
0.195,0.063574515,-0.008107258,0.02742989
0.2,0.063574515,-0.00962594,0.027126154
0.205,0.063878246,-0.009929674,0.027126154
0.21,0.059625939,-0.00871473,0.026822418
0.215,0.063574515,-0.009929674,0.027126154
0.22,0.061752096,-0.009929674,0.027126154
0.225,0.063574515,-0.012359565,0.027126154
0.23,0.06296704,-0.010840883,0.026822418
0.235,0.062663302,-0.005677367,0.026822418
0.24,0.061448358,-0.012055831,0.026822418
0.245,0.059929676,-0.010840883,0.026822418
0.25,0.063574515,-0.009322202,0.026518682
0.255,0.060233414,-0.008107258,0.026822418
0.26,0.062055834,-0.00871473,0.026822418
0.265,0.061752096,-0.013270775,0.026822418
0.27,0.063574515,-0.010537149,0.026822418
0.275,0.062663302,-0.004462423,0.026822418
0.28,0.064181983,-0.006588576,0.026822418
0.285,0.058714733,-0.012663303,0.027126154
0.29,0.067826822,-0.00962594,0.027126154
0.295,0.067826822,-0.010537149,0.026822418
0.3,0.060537152,-0.009018468,0.027126154
0.305,0.064181983,-0.005373631,0.027126154
0.31,0.063574515,-0.010537149,0.027126154
0.315,0.060537152,-0.009018468,0.027126154
0.32,0.06296704,-0.010840883,0.027126154
0.325,0.064485721,-0.007499786,0.027126154
0.33,0.061752096,-0.009322202,0.027126154
0.335,0.062359564,-0.00780352,0.026822418
0.34,0.059322201,-0.007499786,0.026822418
0.345,0.061752096,-0.009322202,0.027126154
0.35,0.062055834,-0.00780352,0.026822418
0.355,0.060537152,-0.008410996,0.026822418
0.36,0.060840882,-0.011752093,0.027126154
0.365,0.061752096,-0.009322202,0.027126154
0.37,0.059322201,-0.006284839,0.027126154
0.375,0.059929676,-0.00962594,0.026822418
0.38,0.062663302,-0.008410996,0.027126154
0.385,0.061752096,-0.009929674,0.027126154
0.39,0.060537152,-0.010840883,0.027126154
0.395,0.060840882,-0.008107258,0.027126154
0.4,0.063574515,-0.00962594,0.026822418
0.405,0.066308141,-0.013574513,0.027126154
0.41,0.062359564,-0.008410996,0.026822418
0.415,0.062663302,-0.008410996,0.027126154
0.42,0.060233414,-0.010537149,0.026822418
0.425,0.063878246,-0.017523082,0.026822418
0.43,0.060537152,-0.005677367,0.026822418
0.435,0.06296704,-0.005069895,0.026822418
0.44,0.059625939,-0.006588576,0.026822418
0.445,0.063270777,-0.006892314,0.026822418
0.45,0.061752096,-0.008107258,0.027126154
0.455,0.059929676,-0.009929674,0.026822418
0.46,0.066611879,-0.013270775,0.027126154
